Year,Return
2012,189.08296943231443
2013,5428.700906344411
2014,-56.14754098360656
2015,34.233644859813076
2016,124.25677086959548
2017,1336.4069129669876
2018,-73.39121037463975
2019,94.09092139820753
2020,304.45499388981585
2021,59.399526571951164
2022,-64.23623215030304
2023,155.67521781219747
2024,120.97827630271192
