id,timestamp,open,high,low,close,volume
49,30-07-2021,8.96,9.92,7.87,8.27,1699272885
48,31-08-2021,8.33,8.54,4.55,6.11,2916821099
47,30-09-2021,6.05,12.37,6.02,11.9,3987993439
46,29-10-2021,11.61,12.23,9.35,9.55,1457138021
45,30-11-2021,9.58,12.39,9.52,11.07,1474555393
44,31-12-2021,11.13,16.79,10.72,15.37,3001617792
43,31-01-2022,15.4,16.05,10.55,10.7,1089602099
42,28-02-2022,10.83,11.95,9.46,10.32,1460038396
41,31-03-2022,10.23,11.7,9.35,9.68,1523842044
40,29-04-2022,9.66,11.55,9.45,9.51,1029880132
39,31-05-2022,9.5,10.23,8.15,9.62,857877423
38,30-06-2022,9.55,9.65,7.75,8.43,711613313
37,29-07-2022,8.37,9.14,8.21,8.77,543080771
36,30-08-2022,8.76,9.54,8.53,9.07,712101432
35,30-09-2022,8.97,10.08,8.4,8.79,1064997218
34,31-10-2022,8.79,9.18,8.35,8.58,618284904
33,30-11-2022,8.57,8.75,7.97,8.25,668731946
32,30-12-2022,8.28,8.96,7.61,7.9,1414351274
31,31-01-2023,7.91,8.15,6.33,7.07,3674262452
30,28-02-2023,7.17,8.57,6.46,6.83,758680879
29,31-03-2023,6.79,7.05,5.7,5.82,609013316
28,28-04-2023,5.82,7.1,5.81,6.95,488814765
27,31-05-2023,6.97,7.43,6.54,7.17,567185961
26,30-06-2023,7.15,8.48,7.03,7.43,660769100
25,31-07-2023,7.46,9.14,7.18,8.34,811066991
24,31-08-2023,8.35,9.38,7.52,9.05,1039839999
23,29-09-2023,9.13,12.45,9.09,11.67,1658506916
22,31-10-2023,11.77,12.35,10.52,11.89,1004132317
21,30-11-2023,11.9,15.07,11.81,13.06,1290069766
20,29-12-2023,13.28,16.22,12.65,16.02,1257097014
19,31-01-2024,16.24,18.42,14.2,14.36,1352380892
18,29-02-2024,14.4,18.38,13.39,13.67,1735898528
17,28-03-2024,13.9,14.75,11.93,13.24,999538437
16,30-04-2024,13.32,14.75,12,13.2,5564801281
15,31-05-2024,13.25,15.68,12.13,15.26,3926478357
14,28-06-2024,16.31,19.15,12.03,17.9,2974811896
13,31-07-2024,17.87,18.05,14.56,16.27,1178600786
12,30-08-2024,16.34,16.55,15.06,15.63,637829872
11,30-09-2024,15.6,15.6,9.79,10.36,1395084285
10,31-10-2024,10.36,10.53,7.59,8.12,1091047400
9,29-11-2024,8.54,8.67,6.6,8.36,1092171626
8,31-12-2024,8.26,8.79,7.35,7.94,986369646
7,31-01-2025,7.98,10.48,7.61,9.04,1337028854
6,28-02-2025,9.17,9.78,7.49,7.56,763154020
5,28-03-2025,7.58,8.04,6.77,6.81,1285407889
4,30-04-2025,7.49,8.57,7.02,7.12,1633260660
3,30-05-2025,7.12,7.54,6.46,6.92,1550802110
2,30-06-2025,6.94,7.55,6.3,7.44,1963446470
1,31-07-2025,7.5,7.94,6.86,6.91,1100417870
0,14-08-2025,6.91,7.01,6.12,6.15,431486704
