id ,name,Amount,duration,Risk tolerence
1,ITC Ltd,low,short,low
2,Nestlé India Ltd,low,short,low
3,Abbott India Ltd,low,short,low
4,Britannia Industries Ltd,low,short,low
5,State Bank  Of India,low,short,low
6,Larsen & Toubro Limited,low,short,low
7,Bharat Electronics Limited,low,short,low
